"var_names","var_labels","year","survey","type"
"brutoink_f2018","Personal gross monthly income in Euros, imputed",2018,"Background","interval"
"brutoink_f2019","Personal gross monthly income in Euros, imputed",2019,"Background","interval"
"netinc2008","Personal net monthly income in Euros",2008,"Background","interval"
"netinc2009","Personal net monthly income in Euros",2009,"Background","interval"
"netinc2010","Personal net monthly income in Euros",2010,"Background","interval"
"netinc2011","Personal net monthly income in Euros",2011,"Background","interval"
"netinc2012","Personal net monthly income in Euros",2012,"Background","interval"
"netinc2013","Personal net monthly income in Euros",2013,"Background","interval"
"netinc2014","Personal net monthly income in Euros",2014,"Background","interval"
"netinc2015","Personal net monthly income in Euros",2015,"Background","interval"
"netinc2016","Personal net monthly income in Euros",2016,"Background","interval"
"netinc2017","Personal net monthly income in Euros",2017,"Background","interval"
"netinc2018","Personal net monthly income in Euros",2018,"Background","interval"
"netinc2019","Personal net monthly income in Euros",2019,"Background","interval"
"nettoink_f2008","Personal net monthly income in Euros, imputed",2008,"Background","interval"
"nettoink_f2009","Personal net monthly income in Euros, imputed",2009,"Background","interval"
"nettoink_f2010","Personal net monthly income in Euros, imputed",2010,"Background","interval"
"nettoink_f2011","Personal net monthly income in Euros, imputed",2011,"Background","interval"
"nettoink_f2012","Personal net monthly income in Euros, imputed",2012,"Background","interval"
"nettoink_f2013","Personal net monthly income in Euros, imputed",2013,"Background","interval"
"nettoink_f2014","Personal net monthly income in Euros, imputed",2014,"Background","interval"
"nettoink_f2015","Personal net monthly income in Euros, imputed",2015,"Background","interval"
"nettoink_f2016","Personal net monthly income in Euros, imputed",2016,"Background","interval"
"nettoink_f2017","Personal net monthly income in Euros, imputed",2017,"Background","interval"
"nettoink_f2018","Personal net monthly income in Euros, imputed",2018,"Background","interval"
"nettoink_f2019","Personal net monthly income in Euros, imputed",2019,"Background","interval"
"brutohh_f2008","Gross household income in Euros",2008,"Background","interval"
"brutohh_f2009","Gross household income in Euros",2009,"Background","interval"
"brutohh_f2010","Gross household income in Euros",2010,"Background","interval"
"brutohh_f2011","Gross household income in Euros",2011,"Background","interval"
"brutohh_f2012","Gross household income in Euros",2012,"Background","interval"
"brutohh_f2013","Gross household income in Euros",2013,"Background","interval"
"brutohh_f2014","Gross household income in Euros",2014,"Background","interval"
"brutohh_f2015","Gross household income in Euros",2015,"Background","interval"
"brutohh_f2016","Gross household income in Euros",2016,"Background","interval"
"brutohh_f2017","Gross household income in Euros",2017,"Background","interval"
"brutohh_f2018","Gross household income in Euros",2018,"Background","interval"
"brutohh_f2019","Gross household income in Euros",2019,"Background","interval"
"nettohh_f2008","Net household income in Euros",2008,"Background","interval"
"nettohh_f2009","Net household income in Euros",2009,"Background","interval"
"nettohh_f2010","Net household income in Euros",2010,"Background","interval"
"nettohh_f2011","Net household income in Euros",2011,"Background","interval"
"nettohh_f2012","Net household income in Euros",2012,"Background","interval"
"nettohh_f2013","Net household income in Euros",2013,"Background","interval"
"nettohh_f2014","Net household income in Euros",2014,"Background","interval"
"nettohh_f2015","Net household income in Euros",2015,"Background","interval"
"nettohh_f2016","Net household income in Euros",2016,"Background","interval"
"nettohh_f2017","Net household income in Euros",2017,"Background","interval"
"nettohh_f2018","Net household income in Euros",2018,"Background","interval"
"nettohh_f2019","Net household income in Euros",2019,"Background","interval"
"herkomstgroep2010","Origin",2010,"Background","categorical"
"herkomstgroep2011","Origin",2011,"Background","categorical"
"herkomstgroep2012","Origin",2012,"Background","categorical"
"herkomstgroep2013","Origin",2013,"Background","categorical"
"herkomstgroep2014","Origin",2014,"Background","categorical"
"herkomstgroep2015","Origin",2015,"Background","categorical"
"herkomstgroep2016","Origin",2016,"Background","categorical"
"herkomstgroep2017","Origin",2017,"Background","categorical"
"herkomstgroep2018","Origin",2018,"Background","categorical"
"herkomstgroep2019","Origin",2019,"Background","categorical"
"werving2011","From which recruitment wave the household originates",2011,"Background","categorical"
"werving2012","From which recruitment wave the household originates",2012,"Background","categorical"
"werving2013","From which recruitment wave the household originates",2013,"Background","categorical"
"werving2014","From which recruitment wave the household originates",2014,"Background","categorical"
"werving2015","From which recruitment wave the household originates",2015,"Background","categorical"
"werving2016","From which recruitment wave the household originates",2016,"Background","categorical"
"werving2017","From which recruitment wave the household originates",2017,"Background","categorical"
"werving2018","From which recruitment wave the household originates",2018,"Background","categorical"
"werving2019","From which recruitment wave the household originates",2019,"Background","categorical"
"brutoink_f_all2008","Personal gross monthly income in Euros, imputed, per month in Year",2008,"Background","interval"
"brutoink_f_all2009","Personal gross monthly income in Euros, imputed, per month in Year",2009,"Background","interval"
"brutoink_f_all2010","Personal gross monthly income in Euros, imputed, per month in Year",2010,"Background","interval"
"brutoink_f_all2011","Personal gross monthly income in Euros, imputed, per month in Year",2011,"Background","interval"
"brutoink_f_all2012","Personal gross monthly income in Euros, imputed, per month in Year",2012,"Background","interval"
"brutoink_f_all2013","Personal gross monthly income in Euros, imputed, per month in Year",2013,"Background","interval"
"brutoink_f_all2014","Personal gross monthly income in Euros, imputed, per month in Year",2014,"Background","interval"
"brutoink_f_all2015","Personal gross monthly income in Euros, imputed, per month in Year",2015,"Background","interval"
"brutoink_f_all2016","Personal gross monthly income in Euros, imputed, per month in Year",2016,"Background","interval"
"brutoink_f_all2017","Personal gross monthly income in Euros, imputed, per month in Year",2017,"Background","interval"
"brutoink_f_all2018","Personal gross monthly income in Euros, imputed, per month in Year",2018,"Background","interval"
"brutoink_f_all2019","Personal gross monthly income in Euros, imputed, per month in Year",2019,"Background","interval"
"nettoink_f_all2008","Personal net monthly income in Euros, imputed, per month in Year",2008,"Background","interval"
"nettoink_f_all2009","Personal net monthly income in Euros, imputed, per month in Year",2009,"Background","interval"
"nettoink_f_all2010","Personal net monthly income in Euros, imputed, per month in Year",2010,"Background","interval"
"nettoink_f_all2011","Personal net monthly income in Euros, imputed, per month in Year",2011,"Background","interval"
"nettoink_f_all2012","Personal net monthly income in Euros, imputed, per month in Year",2012,"Background","interval"
"nettoink_f_all2013","Personal net monthly income in Euros, imputed, per month in Year",2013,"Background","interval"
"nettoink_f_all2014","Personal net monthly income in Euros, imputed, per month in Year",2014,"Background","interval"
"nettoink_f_all2015","Personal net monthly income in Euros, imputed, per month in Year",2015,"Background","interval"
"nettoink_f_all2016","Personal net monthly income in Euros, imputed, per month in Year",2016,"Background","interval"
"nettoink_f_all2017","Personal net monthly income in Euros, imputed, per month in Year",2017,"Background","interval"
"nettoink_f_all2018","Personal net monthly income in Euros, imputed, per month in Year",2018,"Background","interval"
"nettoink_f_all2019","Personal net monthly income in Euros, imputed, per month in Year",2019,"Background","interval"
"cf08a_m","Year and month of field work period",2008,"Family & Household","interval"
"cf09b_m","Year and month of field work period",2009,"Family & Household","interval"
"cf10c_m","Year and month of field work period",2010,"Family & Household","interval"
"cf11d_m","Year and month of field work period",2011,"Family & Household","interval"
"cf12e_m","Year and month of field work period",2012,"Family & Household","interval"
"cf13f_m","Year and month of field work period",2013,"Family & Household","interval"
"cf14g_m","Year and month of field work period",2014,"Family & Household","interval"
"cf15h_m","Year and month of fieldwork period",2015,"Family & Household","interval"
"cf16i_m","Year and month of fieldwork period",2016,"Family & Household","interval"
"cf17j_m","Year and month of fieldwork period",2017,"Family & Household","interval"
"cf18k_m","Year and month of fieldwork period",2018,"Family & Household","interval"
"cf19l_m","Year and month of fieldwork period",2019,"Family & Household","interval"
"cf08a001","Randomly chosen child",2008,"Family & Household","categorical"
"cf09b001","Randomly chosen child",2009,"Family & Household","categorical"
"cf10c001","Randomly chosen child",2010,"Family & Household","categorical"
"cf11d001","Randomly chosen child",2011,"Family & Household","categorical"
"cf12e001","Randomly chosen child",2012,"Family & Household","categorical"
"cf13f001","Randomly chosen child",2013,"Family & Household","categorical"
"cf14g001","Randomly chosen child",2014,"Family & Household","categorical"
"cf15h001","Randomly selected child",2015,"Family & Household","categorical"
"cf16i001","Randomly selected child",2016,"Family & Household","categorical"
"cf17j001","Randomly selected child",2017,"Family & Household","categorical"
