"","last3letters","n_waves","which_waves","var_names","n_unique_labels","unique_labels","value_labels"
"22","oplmet","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","oplmet2007, oplmet2008, oplmet2009, oplmet2010, oplmet2011, oplmet2012, oplmet2013, oplmet2014, oplmet2015, oplmet2016, oplmet2017, oplmet2018, oplmet2019","1","Highest level of education with diploma","c(`primary school` = 1, `vmbo (intermediate secondary education, US: junior high school)` = 2, `havo/vwo (higher secondary education/preparatory university education, US: senior high school)` = 3, `mbo (intermediate vocational education, US: junior college)` = 4, `hbo (higher vocational education, US: college)` = 5, `wo (university)` = 6, other = 7, `Not yet completed any education` = 8, `Not yet started any education` = 9)"
"23","oplcat","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","oplcat2007, oplcat2008, oplcat2009, oplcat2010, oplcat2011, oplcat2012, oplcat2013, oplcat2014, oplcat2015, oplcat2016, oplcat2017, oplcat2018, oplcat2019","1","Level of education in CBS (Statistics Netherlands) categories","c(`primary school` = 1, `vmbo (intermediate secondary education, US: junior high school)` = 2, `havo/vwo (higher secondary education/preparatory university education, US: senior high school)` = 3, `mbo (intermediate vocational education, US: junior college)` = 4, `hbo (higher vocational education, US: college)` = 5, `wo (university)` = 6)"
"24","doetmee","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","doetmee2007, doetmee2008, doetmee2009, doetmee2010, doetmee2011, doetmee2012, doetmee2013, doetmee2014, doetmee2015, doetmee2016, doetmee2017, doetmee2018, doetmee2019","1","Household member participates in the panel","c(no = 0, yes = 1)"
"25","sted","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","sted2008, sted2009, sted2010, sted2011, sted2012, sted2013, sted2014, sted2015, sted2016, sted2017, sted2018, sted2019","1","Urban character of place of residence","c(`Extremely urban` = 1, `Very urban` = 2, `Moderately urban` = 3, `Slightly urban` = 4, `Not urban` = 5)"
"26","simpc","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","simpc2008, simpc2009, simpc2010, simpc2011, simpc2012, simpc2013, simpc2014, simpc2015, simpc2016, simpc2017, simpc2018, simpc2019","1","Does the household have a simPC?","c(no = 0, yes = 1)"
"27","brutoink_f","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","brutoink_f2008, brutoink_f2009, brutoink_f2010, brutoink_f2011, brutoink_f2012, brutoink_f2013, brutoink_f2014, brutoink_f2015, brutoink_f2016, brutoink_f2017, brutoink_f2018, brutoink_f2019","1","Personal gross monthly income in Euros, imputed","NULL"
"28","netinc","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","netinc2008, netinc2009, netinc2010, netinc2011, netinc2012, netinc2013, netinc2014, netinc2015, netinc2016, netinc2017, netinc2018, netinc2019","1","Personal net monthly income in Euros","c(`Unknown (missing)` = -15, `Prefer not to say` = -14, `I dont know` = -13)"
"29","nettoink_f","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","nettoink_f2008, nettoink_f2009, nettoink_f2010, nettoink_f2011, nettoink_f2012, nettoink_f2013, nettoink_f2014, nettoink_f2015, nettoink_f2016, nettoink_f2017, nettoink_f2018, nettoink_f2019","1","Personal net monthly income in Euros, imputed","NULL"
"30","brutohh_f","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","brutohh_f2008, brutohh_f2009, brutohh_f2010, brutohh_f2011, brutohh_f2012, brutohh_f2013, brutohh_f2014, brutohh_f2015, brutohh_f2016, brutohh_f2017, brutohh_f2018, brutohh_f2019","1","Gross household income in Euros","NULL"
"31","nettohh_f","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","nettohh_f2008, nettohh_f2009, nettohh_f2010, nettohh_f2011, nettohh_f2012, nettohh_f2013, nettohh_f2014, nettohh_f2015, nettohh_f2016, nettohh_f2017, nettohh_f2018, nettohh_f2019","1","Net household income in Euros","NULL"
"32","herkomstgroep","10","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","herkomstgroep2010, herkomstgroep2011, herkomstgroep2012, herkomstgroep2013, herkomstgroep2014, herkomstgroep2015, herkomstgroep2016, herkomstgroep2017, herkomstgroep2018, herkomstgroep2019","1","Origin","c(`Dutch background` = 0, `First generation foreign, Western background` = 101, `First generation foreign, non-western background` = 102, `Second generation foreign, Western background` = 201, `Second generation foreign, non-western background` = 202, `Origin unknown or part of the information unknown (missing values)` = 999)"
"33","werving","9","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","werving2011, werving2012, werving2013, werving2014, werving2015, werving2016, werving2017, werving2018, werving2019","1","From which recruitment wave the household originates","c(`the household originates from the pilot study of 2007` = 1, `the household originates from the main recruitment wave of 2007` = 2, `the household originates from the additional recruitment wave of 2009` = 3, `the household originates from the recruitment wave of the immigrant panel 2010` = 4, `the household originates from the additional recruitment wave of the immigrant panel 2011` = 5, `the household originates from the additional recruitment wave of 2011` = 6, `the household is a split-off of an original recruited panel household` = 99
)"
"34","brutoink_f_all","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","brutoink_f_all2008, brutoink_f_all2009, brutoink_f_all2010, brutoink_f_all2011, brutoink_f_all2012, brutoink_f_all2013, brutoink_f_all2014, brutoink_f_all2015, brutoink_f_all2016, brutoink_f_all2017, brutoink_f_all2018, brutoink_f_all2019","1","Personal gross monthly income in Euros, imputed, per month in Year","NA"
"35","nettoink_f_all","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","nettoink_f_all2008, nettoink_f_all2009, nettoink_f_all2010, nettoink_f_all2011, nettoink_f_all2012, nettoink_f_all2013, nettoink_f_all2014, nettoink_f_all2015, nettoink_f_all2016, nettoink_f_all2017, nettoink_f_all2018, nettoink_f_all2019","1","Personal net monthly income in Euros, imputed, per month in Year","NA"
"36","000_m","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a_m, cf09b_m, cf10c_m, cf11d_m, cf12e_m, cf13f_m, cf14g_m, cf15h_m, cf16i_m, cf17j_m, cf18k_m, cf19l_m","2","Year and month of field work period // Year and month of fieldwork period","NULL"
"37","0000_nohouse_encr","1",NA,"nohouse_encr","1","Number of household encrypted","NA"
"38","00000_nomem_encr","1",NA,"nomem_encr","1","Number of household member encrypted","NULL"
"39","001","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a001, cf09b001, cf10c001, cf11d001, cf12e001, cf13f001, cf14g001, cf15h001, cf16i001, cf17j001, cf18k001, cf19l001","2","Randomly chosen child // Randomly selected child","c(`child 1` = 1, `child 2` = 2, `child 3` = 3, `child 4` = 4, `child 5` = 5, `child 6` = 6, `child 7` = 7, `child 8` = 8, `child 9` = 9, `child 10` = 10, `child 11` = 11, `child 12` = 12, `child 13` = 13, `child 14` = 14, `child 15` = 15, `not applicable` = 16)"
"40","002","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a002, cf09b002, cf10c002, cf11d002, cf12e002, cf13f002, cf14g002, cf15h002, cf16i002, cf17j002, cf18k002, cf19l002","2","Year of birth of randomly chosen child // Year of birth of randomly selected child","NULL"
"41","003","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a003, cf09b003, cf10c003, cf11d003, cf12e003, cf13f003, cf14g003, cf15h003, cf16i003, cf17j003, cf18k003, cf19l003","1","Gender respondent","c(male = 1, female = 2)"
"42","004","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a004, cf09b004, cf10c004, cf11d004, cf12e004, cf13f004, cf14g004, cf15h004, cf16i004, cf17j004, cf18k004, cf19l004","1","Age respondent","NULL"
"43","005","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a005, cf09b005, cf10c005, cf11d005, cf12e005, cf13f005, cf14g005, cf15h005, cf16i005, cf17j005, cf18k005, cf19l005","3","What is the year of birth of your father? // What is the year of birth of your father? We mean your biological father. // Please note: the questions are about your biological father. What is the year of birth of your father?","c(`I don't know` = 9999, `I don't know` = 99999)"
"44","006","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a006, cf09b006, cf10c006, cf11d006, cf12e006, cf13f006, cf14g006","1","Can you perhaps indicate the period in which your biological father was born?","c(`1800-1810` = 1, `1810-1820` = 2, `1820-1830` = 3, `1830-1840` = 4, `1840-1850` = 5, `1850-1860` = 6, `1860-1870` = 7, `1870-1880` = 8, `1880-1890` = 9, `1890-1900` = 10, `1900-1910` = 11, `1910-1920` = 12, `1920-1930` = 13, `1930-1940` = 14, `1940-1950` = 15, `1950-1960` = 16, `1960-1970` = 17, `1970-1980` = 18, `I never knew my father` = 19)"
"45","007","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a007, cf09b007, cf10c007, cf11d007, cf12e007, cf13f007, cf14g007, cf15h007, cf16i007, cf17j007, cf18k007, cf19l007","2","Is your father still alive? // Is your biological father still alive?","c(yes = 1, no = 2, `I don't know` = 99)"
"46","008","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a008, cf09b008, cf10c008, cf11d008, cf12e008, cf13f008, cf14g008, cf15h008, cf16i008, cf17j008, cf18k008, cf19l008","2","In what year did your father pass away? // In what year did your biological father pass away?","c(`I don't know` = 9999, `I don't know` = 99999)"
"47","009","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a009, cf09b009, cf10c009, cf11d009, cf12e009, cf13f009, cf14g009, cf15h009, cf16i009, cf17j009, cf18k009, cf19l009","3","What is the year of birth of your mother? // What is the year of birth of your mother? We mean your biological mother. // Please note: the questions are about your biological mother. What is the year of birth of your mother?","c(`I don't know` = 9999, `I don't know` = 99999)"
"48","010","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a010, cf09b010, cf10c010, cf11d010, cf12e010, cf13f010, cf14g010","1","Can you perhaps indicate the period in which your biological mother was born?","c(`1800-1810` = 1, `1810-1820` = 2, `1820-1830` = 3, `1830-1840` = 4, `1840-1850` = 5, `1850-1860` = 6, `1860-1870` = 7, `1870-1880` = 8, `1880-1890` = 9, `1890-1900` = 10, `1900-1910` = 11, `1910-1920` = 12, `1920-1930` = 13, `1930-1940` = 14, `1940-1950` = 15, `1950-1960` = 16, `1960-1970` = 17, `1970-1980` = 18, `I never knew my mother` = 19)"
"49","011","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a011, cf09b011, cf10c011, cf11d011, cf12e011, cf13f011, cf14g011, cf15h011, cf16i011, cf17j011, cf18k011, cf19l011","2","Is your mother still alive? // Is your biological mother still alive?","c(yes = 1, no = 2, `I don't know` = 99)"
"50","012","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a012, cf09b012, cf10c012, cf11d012, cf12e012, cf13f012, cf14g012, cf15h012, cf16i012, cf17j012, cf18k012, cf19l012","2","In what year did your mother pass away? // In what year did your biological mother pass away?","c(`I don't know` = 9999, `I don't know` = 99999)"
"51","013","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a013, cf09b013, cf10c013, cf11d013, cf12e013, cf13f013, cf14g013, cf15h013, cf16i013, cf17j013, cf18k013, cf19l013","1","Did your own parents ever divorce?","c(yes = 1, no = 2, `my parents never had a relationship` = 3, `I don't know` = 99)"
"52","014","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a014, cf09b014, cf10c014, cf11d014, cf12e014, cf13f014, cf14g014, cf15h014, cf16i014, cf17j014, cf18k014, cf19l014","1","How old were you when your parents separated?","NULL"
"53","015","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a015, cf09b015, cf10c015, cf11d015, cf12e015, cf13f015, cf14g015, cf15h015, cf16i015, cf17j015, cf18k015, cf19l015","1","Is your father currently living together with a partner?","c(yes = 1, no = 2, `I don't know` = 99)"
"54","016","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a016, cf09b016, cf10c016, cf11d016, cf12e016, cf13f016, cf14g016, cf15h016, cf16i016, cf17j016, cf18k016, cf19l016","1","Is your mother currently living together with a partner?","c(yes = 1, no = 2, `I don't know` = 99)"
"55","017","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a017, cf09b017, cf10c017, cf11d017, cf12e017, cf13f017, cf14g017","1","Do you know the postal code of your parents' address?","c(yes = 1, no = 2, `my parents live abroad` = 3, `my parents and I live at the same address` = 4)"
"56","018","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a018, cf09b018, cf10c018, cf11d018, cf12e018, cf13f018, cf14g018, cf15h018, cf16i018, cf17j018, cf18k018, cf19l018","1","Do you know the postal code of your father's address?","c(yes = 1, no = 2, `my father lives abroad` = 3, `my father and I live at the same address` = 4)"
"57","019","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a019, cf09b019, cf10c019, cf11d019, cf12e019, cf13f019, cf14g019, cf15h019, cf16i019, cf17j019, cf18k019, cf19l019","1","Do you know the postal code of your mother's address?","c(yes = 1, no = 2, `my mother lives abroad` = 3, `my mother and I live at the same address` = 4)"
"58","020","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a020, cf09b020, cf10c020, cf11d020, cf12e020, cf13f020, cf14g020, cf15h020, cf16i020, cf17j020, cf18k020, cf19l020","1","How often did you see your father over the past 12 months?","c(never = 1, once = 2, `a few times` = 3, `at least every month` = 4, `at least every week` = 5, `a few times per week` = 6, `every day` = 7)"
"59","021","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a021, cf09b021, cf10c021, cf11d021, cf12e021, cf13f021, cf14g021","1","How often did you have contact with your father over the past 12 months, by telephone, in writing or by email?","c(never = 1, once = 2, `a few times` = 3, `at least every month` = 4, `at least every week` = 5, `a few times per week` = 6, `every day` = 7)"
"60","022","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a022, cf09b022, cf10c022, cf11d022, cf12e022, cf13f022, cf14g022, cf15h022, cf16i022, cf17j022, cf18k022, cf19l022","1","How often did you see your mother over the past 12 months?","c(never = 1, once = 2, `a few times` = 3, `at least every month` = 4, `at least every week` = 5, `a few times per week` = 6, `every day` = 7)"
"61","023","7","2008, 2009, 2010, 2011, 2012, 2013, 2014","cf08a023, cf09b023, cf10c023, cf11d023, cf12e023, cf13f023, cf14g023","1","How often did you have contact with your mother over the past 12 months, by telephone, in writing or by email?","c(never = 1, once = 2, `a few times` = 3, `at least every month` = 4, `at least every week` = 5, `a few times per week` = 6, `every day` = 7)"
"62","024","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a024, cf09b024, cf10c024, cf11d024, cf12e024, cf13f024, cf14g024, cf15h024, cf16i024, cf17j024, cf18k024, cf19l024","1","Do you currently have a partner?","c(yes = 1, no = 2)"
"63","025","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a025, cf09b025, cf10c025, cf11d025, cf12e025, cf13f025, cf14g025, cf15h025, cf16i025, cf17j025, cf18k025, cf19l025","1","Do you live together with this partner?","c(yes = 1, no = 2)"
"64","026","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a026, cf09b026, cf10c026, cf11d026, cf12e026, cf13f026, cf14g026, cf15h026, cf16i026, cf17j026, cf18k026, cf19l026","1","What is his or her year of birth?","NULL"
"65","027","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a027, cf09b027, cf10c027, cf11d027, cf12e027, cf13f027, cf14g027, cf15h027, cf16i027, cf17j027, cf18k027, cf19l027","1","In which country was your partner born?","c(Netherlands = 1, Turkey = 2, Morocco = 3, `Netherlands Antilles` = 4, Surinam = 5, Indonesia = 6, `other non-western country (Africa, Latin America, Asia other than Indonesia and Japan)` = 7, `other western country (Europe, North America, Japan, Oceania)` = 8)"
"66","028","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a028, cf09b028, cf10c028, cf11d028, cf12e028, cf13f028, cf14g028, cf15h028, cf16i028, cf17j028, cf18k028, cf19l028","1","In what year did the relationship with your partner begin?","NULL"
"67","029","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a029, cf09b029, cf10c029, cf11d029, cf12e029, cf13f029, cf14g029, cf15h029, cf16i029, cf17j029, cf18k029, cf19l029","1","In what year did you start living together with your partner?","NULL"
"68","030","12","2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","cf08a030, cf09b030, cf10c030, cf11d030, cf12e030, cf13f030, cf14g030, cf15h030, cf16i030, cf17j030, cf18k030, cf19l030","1","Are you married to this partner?","c(yes = 1, no = 2)"
